Дата и время | Выработка (Вт⋅ч) | Потребление (Вт⋅ч) | Чистая энергия (Вт⋅ч)
2025-04-17 03:00:00 | 0.00 | 0.00 | 0.00
2025-04-17 06:00:00 | 0.00 | 0.00 | 0.00
2025-04-17 09:00:00 | 26,48 | 100,00 | -73,52
2025-04-17 12:00:00 | 46,20 | 100,00 | -53,80
2025-04-17 15:00:00 | 10,24 | 100,00 | -89,76
2025-04-17 18:00:00 | 0,00 | 100,00 | -100,00
2025-04-17 21:00:00 | 0.00 | 0.00 | 0.00
2025-04-18 00:00:00 | 0.00 | 0.00 | 0.00
2025-04-18 03:00:00 | 0.00 | 0.00 | 0.00
2025-04-18 06:00:00 | 0.00 | 0.00 | 0.00
2025-04-18 09:00:00 | 66,29 | 100,00 | -33,71
2025-04-18 12:00:00 | 79,15 | 100,00 | -20,85
2025-04-18 15:00:00 | 6,53 | 100,00 | -93,47
2025-04-18 18:00:00 | 0,00 | 100,00 | -100,00
2025-04-18 21:00:00 | 0.00 | 0.00 | 0.00
2025-04-19 00:00:00 | 0.00 | 0.00 | 0.00
2025-04-19 03:00:00 | 0.00 | 0.00 | 0.00
2025-04-19 06:00:00 | 0.00 | 0.00 | 0.00
2025-04-19 09:00:00 | 16,59 | 100,00 | -83,41
2025-04-19 12:00:00 | 19,96 | 100,00 | -80,04
2025-04-19 15:00:00 | 2,37 | 100,00 | -97,63
2025-04-19 18:00:00 | 0,00 | 100,00 | -100,00
2025-04-19 21:00:00 | 0.00 | 0.00 | 0.00
2025-04-20 00:00:00 | 0.00 | 0.00 | 0.00
2025-04-20 03:00:00 | 0.00 | 0.00 | 0.00
2025-04-20 06:00:00 | 0.00 | 0.00 | 0.00
2025-04-20 09:00:00 | 50,50 | 100,00 | -49,50
2025-04-20 12:00:00 | 63,73 | 100,00 | -36,27
2025-04-20 15:00:00 | 8,83 | 100,00 | -91,17
2025-04-20 18:00:00 | 0,00 | 100,00 | -100,00
2025-04-20 21:00:00 | 0.00 | 0.00 | 0.00
2025-04-21 00:00:00 | 0.00 | 0.00 | 0.00
2025-04-21 03:00:00 | 0.00 | 0.00 | 0.00
2025-04-21 06:00:00 | 0.00 | 0.00 | 0.00
2025-04-21 09:00:00 | 29,10 | 100,00 | -70,90
2025-04-21 12:00:00 | 40,40 | 100,00 | -59,60
2025-04-21 15:00:00 | 5,00 | 100,00 | -95,00
2025-04-21 18:00:00 | 0,00 | 100,00 | -100,00
2025-04-21 21:00:00 | 0.00 | 0.00 | 0.00
2025-04-22 00:00:00 | 0.00 | 0.00 | 0.00
